LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
XXX_LMGP10010580	PA(20:9(11Z,14Z)/20:12(5Z,8Z,11Z,14Z,17Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	746.488659	C43H71O8P	123066741	52929173	WTYIUXJBZMJPGP-KXUXTPGCSA-N						
XXX_LMGP10010581	PA(20:9(11Z,14Z)/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	770.582559	C44H83O8P	123066742	52929174	RNCFXYYQHNYAGM-BYAYFGLHSA-N						
XXX_LMGP10010582	PA(20:9(11Z,14Z)/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	784.598209	C45H85O8P	123066743	52929175	IYVWUDABTOAHMQ-RNLCRUPCSA-N						
XXX_LMGP10010583	PA(20:9(11Z,14Z)/22:8(11Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	782.582559	C45H83O8P	123066744	52929176	ZVEPQKJAVQATKQ-MEGKGTINSA-N						
XXX_LMGP10010584	PA(20:9(11Z,14Z)/22:9(13Z,16Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	780.566909	C45H81O8P	123066745	52929177	YLKPNNXEUVYMQR-DHAKCBTASA-N						
XXX_LMGP10010585	PA(20:9(11Z,14Z)/22:11(7Z,10Z,13Z,16Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	776.535609	C45H77O8P	123066746	52929178	SEDWKTZJSXDENV-DRBQCQBHSA-N						
XXX_LMGP10010586	PA(20:9(11Z,14Z)/22:13(4Z,7Z,10Z,13Z,16Z,19Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	772.504309	C45H73O8P	123066747	52929179	XLZZQVAHYWNCGB-QJWQWIMRSA-N						
XXX_LMGP10050028	PA(20:10(8Z,11Z,14Z)/0:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Monoacylglycerophosphates [GP1005]	460.258993	C23H41O7P	123067343	52929761	LZSKMXWVALYCLG-CSLWLMPESA-N						
XXX_LMGP10010587	PA(20:10(8Z,11Z,14Z)/12:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	642.426059	C35H63O8P	123066748	52929180	GEGJMUBQFGTEDZ-UVXFUXOQSA-N						
XXX_LMGP10010588	PA(20:10(8Z,11Z,14Z)/13:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	656.441709	C36H65O8P	123066749	52929181	DWNRUXATVVUWNB-JOAMYVONSA-N						
XXX_LMGP10010589	PA(20:10(8Z,11Z,14Z)/14:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	670.457359	C37H67O8P	123066750	52929182	BBENHAJMOIPPAF-WAWAFNTHSA-N						
XXX_LMGP10010590	PA(20:10(8Z,11Z,14Z)/14:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	668.441709	C37H65O8P	123066751	52929183	QOVXUUNLFSBXCC-PCJSUMBCSA-N						
XXX_LMGP10010591	PA(20:10(8Z,11Z,14Z)/15:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	684.473009	C38H69O8P	123066752	52929184	NIKRUQUZGKQIDG-ILXKRTFMSA-N						
XXX_LMGP10010592	PA(20:10(8Z,11Z,14Z)/15:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	682.457359	C38H67O8P	123066753	52929185	GAHBTJHWLRWURQ-SFZRZNJXSA-N						
XXX_LMGP10010593	PA(20:10(8Z,11Z,14Z)/16:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	698.488659	C39H71O8P	123066754	52929186	WKBCBYXYEJTYBY-QNKWBPIESA-N						
XXX_LMGP10010594	PA(20:10(8Z,11Z,14Z)/16:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	696.473009	C39H69O8P	123066755	52929187	NQJLGOAUOTZSQL-HNYBRTIVSA-N						
XXX_LMGP10010595	PA(20:10(8Z,11Z,14Z)/17:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	712.504309	C40H73O8P	123066756	52929188	ARGUAEUZDJUJOK-KAYJMLIJSA-N						
XXX_LMGP10010596	PA(20:10(8Z,11Z,14Z)/17:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	710.488659	C40H71O8P	123066757	52929189	CKNWDJBAPJHCFC-CNYOGFCDSA-N						
XXX_LMGP10010597	PA(20:10(8Z,11Z,14Z)/17:9(9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	708.473009	C40H69O8P	123066758	52929190	ASGGMIJXHGHCQO-UQYNEALKSA-N						
XXX_LMGP10010598	PA(20:10(8Z,11Z,14Z)/18:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	726.519959	C41H75O8P	123066759	52929191	KSYORYYOOCVCDZ-XYEKXZBYSA-N						
XXX_LMGP10010599	PA(20:10(8Z,11Z,14Z)/18:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	724.504309	C41H73O8P	123066760	52929192	HVRGQYMSPCEPJR-CQVRJMADSA-N						
XXX_LMGP10010600	PA(20:10(8Z,11Z,14Z)/18:9(9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	722.488659	C41H71O8P	123066761	52929193	QUGWSTXSPNJMBE-YRMMAIRTSA-N						
XXX_LMGP10010601	PA(20:10(8Z,11Z,14Z)/18:10(6Z,9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	720.473009	C41H69O8P	123066762	52929194	DIYSKRVLPLFAQN-SIXIQDSKSA-N						
XXX_LMGP10010602	PA(20:10(8Z,11Z,14Z)/18:10(9Z,12Z,15Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	720.473009	C41H69O8P	123066763	52929195	DIYWEAXLIQAXEX-YDPGOTGJSA-N						
XXX_LMGP10010603	PA(20:10(8Z,11Z,14Z)/18:11(6Z,9Z,12Z,15Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	718.457359	C41H67O8P	123066764	52929196	PRSVIYAZMNRWSD-SMVAWORESA-N						
XXX_LMGP10010604	PA(20:10(8Z,11Z,14Z)/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	740.535609	C42H77O8P	123066765	52929197	DANRXRYXQDJXPS-RARZFCNBSA-N						
XXX_LMGP10010605	PA(20:10(8Z,11Z,14Z)/19:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	738.519959	C42H75O8P	123066766	52929198	WVLBDCVQPPVFSI-WNISEXJOSA-N						
XXX_LMGP10010606	PA(20:10(8Z,11Z,14Z)/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	754.551259	C43H79O8P	123066767	52929199	DGPSWIXWMZPHRY-BSLAPZPZSA-N						
XXX_LMGP10010607	PA(20:10(8Z,11Z,14Z)/20:8(11Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	752.535609	C43H77O8P	123066768	52929200	UODGHUTWFJTWAH-NJKIQRKESA-N						
XXX_LMGP10010608	PA(20:10(8Z,11Z,14Z)/20:9(11Z,14Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	750.519959	C43H75O8P	123066769	52929201	ZGKPBUGIRCHRGR-PIMYSYFVSA-N						
XXX_LMGP10010609	PA(20:10(8Z,11Z,14Z)/20:10(8Z,11Z,14Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	748.504309	C43H73O8P	123066770	52929202	LVBMEMRDAYDJBL-NMJXYPBASA-N						
XXX_LMGP10010610	PA(20:10(8Z,11Z,14Z)/20:11(5Z,8Z,11Z,14Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	746.488659	C43H71O8P	123066771	52929203	XLRSIQSQXNKMOV-ACUAIWSVSA-N						
XXX_LMGP10010611	PA(20:10(8Z,11Z,14Z)/20:12(5Z,8Z,11Z,14Z,17Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	744.473009	C43H69O8P	123066772	52929204	MSULJJILWFMNGH-LEMXCKRSSA-N						
XXX_LMGP10010612	PA(20:10(8Z,11Z,14Z)/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	768.566909	C44H81O8P	123066773	52929205	SPMGTTAZBQWIGQ-NDLPAHADSA-N						
XXX_LMGP10010613	PA(20:10(8Z,11Z,14Z)/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	782.582559	C45H83O8P	123066774	52929206	UCDIWJBZCDKSJO-YBRHXTERSA-N						
XXX_LMGP10010614	PA(20:10(8Z,11Z,14Z)/22:8(11Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	780.566909	C45H81O8P	123066775	52929207	CYGZJWYYMNUWCJ-FMZVSRQTSA-N						
XXX_LMGP10010615	PA(20:10(8Z,11Z,14Z)/22:9(13Z,16Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	778.551259	C45H79O8P	123066776	52929208	CYFSENQYUULRPM-QUPMYNEGSA-N						
XXX_LMGP10010616	PA(20:10(8Z,11Z,14Z)/22:11(7Z,10Z,13Z,16Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	774.519959	C45H75O8P	123066777	52929209	BZTRTLRALQTFBU-JYTWUVQDSA-N						
XXX_LMGP10010617	PA(20:10(8Z,11Z,14Z)/22:13(4Z,7Z,10Z,13Z,16Z,19Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	770.488659	C45H71O8P	123066778	52929210	XJZHIKFUENATHK-DYINNSHSSA-N						
XXX_LMGP10050013	PA(20:11(5Z,8Z,11Z,14Z)/0:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Monoacylglycerophosphates [GP1005]	458.243343	C23H39O7P	74380470	42607498	XBFQFMCUPHZKTI-NZRYSPDRSA-N						
XXX_LMGP10010618	PA(20:11(5Z,8Z,11Z,14Z)/12:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	640.410409	C35H61O8P	123066779	52929211	IAAACLJFKBOMJQ-FFYAXNJMSA-N						
XXX_LMGP10010619	PA(20:11(5Z,8Z,11Z,14Z)/13:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	654.426059	C36H63O8P	123066780	52929212	PYVGBKPQMPJQJZ-YKQGVKHQSA-N						
XXX_LMGP10010620	PA(20:11(5Z,8Z,11Z,14Z)/14:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	668.441709	C37H65O8P	123066781	52929213	XGGYURPUARRBSA-QFQPQIPXSA-N						
XXX_LMGP10010621	PA(20:11(5Z,8Z,11Z,14Z)/14:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	666.426059	C37H63O8P	123066782	52929214	MBHSFSVGGNVWPB-LGIVAXJKSA-N						
XXX_LMGP10010622	PA(20:11(5Z,8Z,11Z,14Z)/15:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	682.457359	C38H67O8P	123066783	52929215	XULSQBOLCNYYOZ-BVCDQDBVSA-N						
XXX_LMGP10010623	PA(20:11(5Z,8Z,11Z,14Z)/15:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	680.441709	C38H65O8P	123066784	52929216	PRBSLOIQIOSHQH-LNSCBTDFSA-N						
XXX_LMGP10010858	PA(20:11(5Z,8Z,11Z,14Z)/16:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	696.473009	C39H69O8P	123067019	52929450	AICXPIWGUZBCTF-LAQBAJAOSA-N						
XXX_LMGP10010624	PA(20:11(5Z,8Z,11Z,14Z)/16:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	694.457359	C39H67O8P	123066785	52929217	TZUXUCWGFBDAOF-XMQUFBQNSA-N						
XXX_LMGP10010625	PA(20:11(5Z,8Z,11Z,14Z)/17:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	710.488659	C40H71O8P	123066786	52929218	PKYPLYCMHWDZEO-VPTJOKJNSA-N						
XXX_LMGP10010626	PA(20:11(5Z,8Z,11Z,14Z)/17:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	708.473009	C40H69O8P	123066787	52929219	SXCVTVOXMNXRBE-DFCAJLNWSA-N						
XXX_LMGP10010627	PA(20:11(5Z,8Z,11Z,14Z)/17:9(9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	706.457359	C40H67O8P	123066788	52929220	OKZPDKKUDKLEDH-LOBJALBESA-N						
XXX_LMGP10010628	PA(20:11(5Z,8Z,11Z,14Z)/18:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	724.504309	C41H73O8P	123066789	52929221	IJHZLICWKJKFDU-OAAUCIMNSA-N						
XXX_LMGP10010629	PA(20:11(5Z,8Z,11Z,14Z)/18:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	722.488659	C41H71O8P	123066790	52929222	WPZWVFHOVBEOOI-RQOUDQJUSA-N						
XXX_LMGP10010630	PA(20:11(5Z,8Z,11Z,14Z)/18:9(9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	720.473009	C41H69O8P	123066791	52929223	XGGSYGDAYDABQJ-UVIMULPNSA-N						
XXX_LMGP10010631	PA(20:11(5Z,8Z,11Z,14Z)/18:10(6Z,9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	718.457359	C41H67O8P	123066792	52929224	RNHCEAMJGSBONI-MNBHVDADSA-N						
XXX_LMGP10010632	PA(20:11(5Z,8Z,11Z,14Z)/18:10(9Z,12Z,15Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	718.457359	C41H67O8P	123066793	52929225	KMUBGRCCCUUMTF-KDINJHCRSA-N						
XXX_LMGP10010633	PA(20:11(5Z,8Z,11Z,14Z)/18:11(6Z,9Z,12Z,15Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	716.441709	C41H65O8P	123066794	52929226	RFLXEBPBDSVSDA-JPEVCZJFSA-N						
XXX_LMGP10010634	PA(20:11(5Z,8Z,11Z,14Z)/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	738.519959	C42H75O8P	123066795	52929227	NTONXEWSHITYQE-RZSPNBQZSA-N						
XXX_LMGP10010635	PA(20:11(5Z,8Z,11Z,14Z)/19:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	736.504309	C42H73O8P	123066796	52929228	PHMUGQYUELBZQA-HJLZSEEDSA-N						
XXX_LMGP10010636	PA(20:11(5Z,8Z,11Z,14Z)/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	752.535609	C43H77O8P	123066797	52929229	VOBLSCYTHWRVNI-UXJKFGKFSA-N						
XXX_LMGP10010637	PA(20:11(5Z,8Z,11Z,14Z)/20:8(11Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	750.519959	C43H75O8P	123066798	52929230	PKEIEZADWNOVAN-MNTTZMHZSA-N						
XXX_LMGP10010638	PA(20:11(5Z,8Z,11Z,14Z)/20:9(11Z,14Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	748.504309	C43H73O8P	123066799	52929231	JVAAWFMYHDIJOK-GYQBXGTHSA-N						
XXX_LMGP10010639	PA(20:11(5Z,8Z,11Z,14Z)/20:10(8Z,11Z,14Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	746.488659	C43H71O8P	123066800	52929232	ZXGHGCCKGRMBMJ-PZGVQGCDSA-N						
XXX_LMGP10010857	PA(20:11(5Z,8Z,11Z,14Z)/20:11(5Z,8Z,11Z,14Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	744.473009	C43H69O8P	123067018	46891869	GDYHKPCXCBYUMI-UUSMYCRBSA-N						
XXX_LMGP10010640	PA(20:11(5Z,8Z,11Z,14Z)/20:12(5Z,8Z,11Z,14Z,17Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	742.457359	C43H67O8P	123066801	52929233	UPUYOXNICPQLOH-SEPYPVLFSA-N						
XXX_LMGP10010641	PA(20:11(5Z,8Z,11Z,14Z)/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	766.551259	C44H79O8P	123066802	52929234	PCAGHLDCMFGIBQ-MMVIJXHXSA-N						
XXX_LMGP10010642	PA(20:11(5Z,8Z,11Z,14Z)/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	780.566909	C45H81O8P	123066803	52929235	HBVMTCTVYSYQHG-FKKIPMTRSA-N						
XXX_LMGP10010643	PA(20:11(5Z,8Z,11Z,14Z)/22:8(11Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	778.551259	C45H79O8P	123066804	52929236	JRHBULYZNDHPIW-KGECWTQBSA-N						
XXX_LMGP10010644	PA(20:11(5Z,8Z,11Z,14Z)/22:9(13Z,16Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	776.535609	C45H77O8P	123066805	52929237	WCXXXRPOKOMNCH-PLLPEKDTSA-N						
XXX_LMGP10010645	PA(20:11(5Z,8Z,11Z,14Z)/22:11(7Z,10Z,13Z,16Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	772.504309	C45H73O8P	123066806	52929238	SAFJHDHBMBWATL-XPDBVWEJSA-N						
XXX_LMGP10010646	PA(20:11(5Z,8Z,11Z,14Z)/22:13(4Z,7Z,10Z,13Z,16Z,19Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	768.473009	C45H69O8P	123066807	52929239	XOGKOTULDJYWFR-YNWSTURMSA-N						
XXX_LMGP10050033	PA(20:12(5Z,8Z,11Z,14Z,17Z)/0:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Monoacylglycerophosphates [GP1005]	456.227693	C23H37O7P	123067348	52929765	DKFJPTBTSHHMCQ-MWRKSYAASA-N						
XXX_LMGP10010647	PA(20:12(5Z,8Z,11Z,14Z,17Z)/12:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	638.394759	C35H59O8P	123066808	52929240	JTSWHFMHDQSCQE-DBEONHOUSA-N						
XXX_LMGP10010648	PA(20:12(5Z,8Z,11Z,14Z,17Z)/13:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	652.410409	C36H61O8P	123066809	52929241	KPGYNZHQRRFMOD-MZSCXKNLSA-N						
XXX_LMGP10010649	PA(20:12(5Z,8Z,11Z,14Z,17Z)/14:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	666.426059	C37H63O8P	123066810	52929242	SIPWDQFROXVJEA-AUVDMNDGSA-N						
XXX_LMGP10010650	PA(20:12(5Z,8Z,11Z,14Z,17Z)/14:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	664.410409	C37H61O8P	123066811	52929243	GYUFJFOEGVOZKR-FTHZEDMHSA-N						
XXX_LMGP10010651	PA(20:12(5Z,8Z,11Z,14Z,17Z)/15:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	680.441709	C38H65O8P	123066812	52929244	HOLNYFCCGXAREE-MLYWPOHCSA-N						
XXX_LMGP10010652	PA(20:12(5Z,8Z,11Z,14Z,17Z)/15:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	678.426059	C38H63O8P	123066813	52929245	PNPHLOQLJCMEFO-ZMYJJERISA-N						
XXX_LMGP10010653	PA(20:12(5Z,8Z,11Z,14Z,17Z)/16:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	694.457359	C39H67O8P	123066814	52929246	UUYRKQKIERQKOD-UVBHGHCKSA-N						
XXX_LMGP10010654	PA(20:12(5Z,8Z,11Z,14Z,17Z)/16:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	692.441709	C39H65O8P	123066815	52929247	ASVVYGSYMOLRNW-LUXGAAOZSA-N						
XXX_LMGP10010655	PA(20:12(5Z,8Z,11Z,14Z,17Z)/17:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	708.473009	C40H69O8P	123066816	52929248	NWFLEVIAZQQYTE-CZAKDWLTSA-N						
XXX_LMGP10010656	PA(20:12(5Z,8Z,11Z,14Z,17Z)/17:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	706.457359	C40H67O8P	123066817	52929249	PBVXTVUIFOBPCD-KZYBKNKSSA-N						
XXX_LMGP10010657	PA(20:12(5Z,8Z,11Z,14Z,17Z)/17:9(9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	704.441709	C40H65O8P	123066818	52929250	YLQVWCPWOJIWGC-CGECEQSGSA-N						
XXX_LMGP10010658	PA(20:12(5Z,8Z,11Z,14Z,17Z)/18:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	722.488659	C41H71O8P	123066819	52929251	OMRXVRGTRTTZCM-XAIRRBMSSA-N						
XXX_LMGP10010856	PA(20:12(5Z,8Z,11Z,14Z,17Z)/18:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	720.473009	C41H69O8P	123067017	52929449	XIXKHBDOQOFFTC-FVMVNACXSA-N						
XXX_LMGP10010659	PA(20:12(5Z,8Z,11Z,14Z,17Z)/18:9(9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	718.457359	C41H67O8P	123066820	52929252	QBNLXPKNQUAQSD-IACJDBCGSA-N						
XXX_LMGP10010660	PA(20:12(5Z,8Z,11Z,14Z,17Z)/18:10(6Z,9Z,12Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	716.441709	C41H65O8P	123066821	52929253	DSWRRJIGSJJDAM-UNWLPLJFSA-N						
XXX_LMGP10010661	PA(20:12(5Z,8Z,11Z,14Z,17Z)/18:10(9Z,12Z,15Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	716.441709	C41H65O8P	123066822	52929254	YKNZGCQLOTYIPA-YKKWSVHWSA-N						
XXX_LMGP10010662	PA(20:12(5Z,8Z,11Z,14Z,17Z)/18:11(6Z,9Z,12Z,15Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	714.426059	C41H63O8P	123066823	52929255	CUOHQKVAALRYAU-KPXMIDAKSA-N						
XXX_LMGP10010663	PA(20:12(5Z,8Z,11Z,14Z,17Z)/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	736.504309	C42H73O8P	123066824	52929256	HZVQJSOHLIXPSW-RBZZYFTDSA-N						
XXX_LMGP10010664	PA(20:12(5Z,8Z,11Z,14Z,17Z)/19:8(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	734.488659	C42H71O8P	123066825	52929257	XBHNODHYCFJCCZ-CFFBKMHVSA-N						
XXX_LMGP10010665	PA(20:12(5Z,8Z,11Z,14Z,17Z)/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	750.519959	C43H75O8P	123066826	52929258	QYQDPNZGFLRFHM-QTUKWGNHSA-N						
XXX_LMGP10010666	PA(20:12(5Z,8Z,11Z,14Z,17Z)/20:8(11Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	Diacylglycerophosphates [GP1001]	748.504309	C43H73O8P	123066827	52929259	KKPIAVMKESJBHE-VLPBTQSLSA-N						
